ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description)"
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever02_Geo,Mesh,1,8,"[0.529,1.218,0.659]","[-15.515,1.179,10.518]",149.78977212382614,18.831126838296218,21.398538874832305,1.0,grow,tiny,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle01_Geo,Mesh,1,8,"[0.661,1.689,0.782]","[-15.267,1.598,10.648]",149.79911595514454,18.736259525316147,21.39987370787779,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle03_Geo,Mesh,1,8,"[0.708,1.596,0.769]","[-15.282,1.502,10.687]",149.69722190947323,18.81636681190075,21.385317415639033,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever01_Geo,Mesh,1,8,"[0.647,1.218,0.659]","[-15.449,1.148,10.612]",149.6207476468514,18.92480713243863,21.374392520978773,1.0,grow,tiny,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle04_Geo,Mesh,1,8,"[0.746,1.524,0.722]","[-15.269,1.409,10.696]",149.60733183092213,18.867276592025675,21.37247597584602,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle05_Geo,Mesh,1,8,"[0.746,1.518,0.655]","[-15.23,1.371,10.656]",149.59926620638197,18.848718417972083,21.37132374376885,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle02_Geo,Mesh,1,8,"[0.948,1.689,0.782]","[-15.106,1.523,10.875]",149.41127193260962,18.963837190821902,21.34446741894423,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Hanlde02_Geo,Mesh,1,8,"[0.803,1.35,0.39]","[-15.12,1.089,10.557]",149.42835643835622,18.893859822704307,21.346908062622315,1.0,grow,tiny,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever01_Geo,Mesh,1,8,"[0.958,1.217,0.66]","[-15.276,1.066,10.857]",149.19364467363835,19.171446632948697,21.313377810519764,1.0,grow,tiny,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever02_Geo,Mesh,1,8,"[1.077,1.218,0.658]","[-15.208,1.035,10.95]",149.04001730343458,19.26551265863434,21.291431043347796,1.0,grow,tiny,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
Canvas/Panel/Row - Collective/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[148.563,1273.333,0.0]",223.26856889853522,223.26856889853522,223.26856889853522,0.0,unknown,unknown,STILL_HIGH;DESCEND_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves downward in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Sticky Throttle/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[148.563,1340.0,0.0]",179.0836814704232,179.0836814704232,179.0836814704232,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Raw Throttle/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[148.563,1406.667,0.0]",152.25653962309798,152.25653962309798,152.25653962309798,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,flat,Overall: moves quickly over a long distance with almost no vertical change. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Main Camera,Camera,1,8,"[-9.661,14.895,-15.276]","[-9.945,7.278,4.542]",172.63701137085627,21.233286815752287,24.66243019583661,0.0,unknown,unknown,STILL_MID;HORIZ_MID;STILL_MID;ASCEND_MID;DESCEND_MID;DESCEND_MID,long,fast,flat,Overall: moves quickly over a long distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves across the scene in a mid-height region; stays mostly still in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast,Empty,1,8,"[0.743,2.062,-2.237]","[-13.108,0.446,8.84]",150.42007857956233,17.80903102361271,21.48858265422319,0.0,unknown,unknown,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast,Empty,1,8,"[0.809,3.024,-0.297]","[-13.786,2.163,9.974]",150.16242150097895,17.86753444099101,21.45177450013985,0.0,unknown,unknown,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Camera LookAt Target,Empty,1,8,"[0.81,2.47,0.0]","[-14.27,1.84,10.212]",149.8799658072174,18.22328850674323,21.41142368674534,0.0,unknown,unknown,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group,Empty,1,8,"[0.81,2.075,-0.618]","[-14.089,1.214,9.876]",149.7667330798836,18.2440554153949,21.395247582840515,0.0,unknown,unknown,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop,Empty,1,8,"[0.803,1.976,-0.693]","[-14.099,1.096,9.835]",149.74443511840428,18.266986286741446,21.392062159772042,0.0,unknown,unknown,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop,Empty,1,8,"[0.803,1.634,0.336]","[-14.934,1.302,10.495]",149.53676607249196,18.73415794744989,21.362395153213136,0.0,unknown,unknown,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/COG,Empty,1,8,"[0.81,1.668,-0.185]","[-14.582,1.079,10.181]",149.54454482469652,18.56648973284934,21.363506403528074,0.0,unknown,unknown,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Collider Group,Empty,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,0.0,unknown,unknown,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Audio Group,Empty,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,0.0,unknown,unknown,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Rotors_Group,Empty,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,0.0,unknown,unknown,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Engines,Empty,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,0.0,unknown,unknown,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Engines/Main Engine,Empty,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,0.0,unknown,unknown,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R_22_Blendshapes,Empty,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,0.0,unknown,unknown,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group,Empty,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,0.0,unknown,unknown,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2,PhysicsBody,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,0.0,unknown,unknown,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
HeliPad_001,Mesh,1,8,"[1.55,0.0,-0.67]","[1.55,0.0,-0.67]",0.0,0.0,0.0,1.0,stable,huge,STILL_LOW,none,none,none,Overall: stays mostly still. Phases: stays mostly still in a low region.
