ObjectName,FrameCount (frames recorded),FirstFrame (start frame),LastFrame (end frame),TotalPathLength (total movement distance),MaxStepDistance (largest single movement),StartX,StartY,StartZ,EndX,EndY,EndZ,VisibleFrames,MedianRenderVolume (typical on-screen volume),HierarchyLevel (depth in scene tree),ObjectType (Unity class/type),IsActive (true/false),HasRenderer,HasCollider,NetDisplacement (start to end distance),VisibilityRatio (fraction visible),ImportanceScore (movement × visibility × size)
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever02_Geo,4,1,8,83.53690917069659,44.301346920833005,1.077,1.218,0.658,-15.208,1.035,10.95,4,0.001574172,3,Mesh,True,True,False,19.26551265863434,1.0,125.35464772130784
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle02_Geo,4,1,8,83.55249605626895,44.295598630112224,0.948,1.689,0.782,-15.106,1.523,10.875,4,1.8040000000000002e-06,3,Mesh,True,True,False,18.963837190821902,1.0,125.32880060762878
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_RLever01_Geo,4,1,8,83.46499799310217,44.235789006188185,0.958,1.217,0.66,-15.276,1.066,10.857,4,0.0019751269999999997,3,Mesh,True,True,False,19.171446632948697,1.0,125.2592714929377
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle03_Geo,4,1,8,83.3982100427603,44.15566723536176,0.708,1.596,0.769,-15.282,1.502,10.687,4,1.8040000000000002e-06,3,Mesh,True,True,False,18.81636681190075,1.0,125.09737148299138
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle04_Geo,4,1,8,83.39720977520193,44.158124609181485,0.746,1.524,0.722,-15.269,1.409,10.696,4,5.16e-07,3,Mesh,True,True,False,18.867276592025675,1.0,125.09583080015989
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle01_Geo,4,1,8,83.38522075991447,44.138649560221026,0.661,1.689,0.782,-15.267,1.598,10.648,4,1.8040000000000002e-06,3,Mesh,True,True,False,18.736259525316147,1.0,125.07788754993541
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle05_Geo,4,1,8,83.3835824480098,44.14146894927716,0.746,1.518,0.655,-15.23,1.371,10.656,4,5.16e-07,3,Mesh,True,True,False,18.848718417972083,1.0,125.0753898067348
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever01_Geo,4,1,8,83.29324667636428,44.06967730764545,0.647,1.218,0.659,-15.449,1.148,10.612,4,0.0019751269999999997,3,Mesh,True,True,False,18.92480713243863,1.0,125.0015174004459
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever02_Geo,4,1,8,83.23403349773852,44.00891256325246,0.529,1.218,0.659,-15.515,1.179,10.518,4,0.001571616,3,Mesh,True,True,False,18.831126838296218,1.0,124.90007583957939
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Blur quad,4,1,8,83.71923361777824,43.74243830652333,0.537,2.062,-2.237,-13.223,0.5,8.678,3,0.13972721850000003,3,Mesh,False,True,False,17.6327725840266,0.75,108.12733200303738
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Double-side blur quad,4,1,8,83.71923361777824,43.74243830652333,0.537,2.062,-2.237,-13.223,0.5,8.678,3,0.13972721850000003,3,Mesh,False,True,False,17.6327725840266,0.75,108.12733200303738
