FrameIndex,ObjectName,"WorldPosition (x,y,z)",RotationEuler,RendererSize,ColliderSize
7,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Cockpit_RDoor_Geo,"[-19.552,39.601,7.988]","[344.094,207.711,333.555]","[0.469,0.549,0.682]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Cockpit_RDoor_Geo,"[-14.499,1.038,10.780]","[331.438,313.803,342.709]","[0.637,0.632,0.480]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,"[0.810,0.890,0.000]","[0.000,0.000,0.000]","[1.223,0.926,0.842]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,"[0.824,0.578,-0.001]","[0.003,9.894,359.982]","[1.349,0.927,1.039]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,"[-18.851,39.172,7.608]","[344.094,207.711,333.555]","[1.675,1.552,1.487]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,"[-15.115,0.515,10.372]","[331.438,313.803,342.709]","[1.712,1.499,1.569]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,"[0.803,1.187,0.336]","[0.000,0.000,0.000]","[0.991,0.905,1.188]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,"[0.875,0.875,0.331]","[0.003,9.894,359.982]","[1.180,0.906,1.341]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,"[-19.078,39.523,7.446]","[344.094,207.711,333.555]","[1.626,1.529,1.701]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,"[-15.174,0.926,10.541]","[331.438,313.803,342.709]","[1.791,1.586,1.594]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Handle01_Geo,"[0.803,1.763,0.382]","[0.000,0.000,0.000]","[0.672,0.176,0.118]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Handle01_Geo,"[0.883,1.451,0.376]","[0.003,9.894,359.982]","[0.682,0.177,0.231]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Handle01_Geo,"[-19.260,40.032,7.651]","[344.094,207.711,333.555]","[0.673,0.472,0.382]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Handle01_Geo,"[-14.894,1.432,10.510]","[331.438,313.803,342.709]","[0.544,0.380,0.619]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Hanlde02_Geo,"[0.803,1.350,0.390]","[0.000,0.000,0.000]","[0.124,0.415,0.117]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Hanlde02_Geo,"[0.884,1.038,0.384]","[0.003,9.894,359.982]","[0.143,0.416,0.137]",[]
