ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/IncButton/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/IncButton,6,Empty,UI,False,"[29.500,-41.300,0.000]","[0.000,0.000,90.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/IncButton/BG,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/IncButton,6,Empty,UI,False,"[32.500,-41.300,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/IncButton,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker,5,Empty,UI,False,"[32.500,-41.300,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/DecButton/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/DecButton,6,Empty,UI,False,"[0.500,-41.300,0.000]","[0.000,0.000,270.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/DecButton/BG,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/DecButton,6,Empty,UI,False,"[-2.500,-41.300,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker/DecButton,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker,5,Empty,UI,False,"[15.000,-41.300,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/ValuePicker,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands,4,Empty,UI,False,"[33.000,-41.300,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|StepValuePicker|NamedIntListController
BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands/Icon,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands,4,Empty,UI,False,"[-11.000,-41.300,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Hands/Hands,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Hands,3,Empty,UI,False,"[-11.000,-37.800,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|LayoutElement
BeatAvatarEditorViewController(Clone)/EditPanel/Hands,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel,2,Empty,UI,False,"[25.000,-41.300,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform
BeatAvatarEditorViewController(Clone)/EditPanel/-,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel,2,Empty,UI,False,"[25.500,-37.700,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/ColorPickerButtonDetail/ColorImage,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/ColorPickerButtonDetail,4,Empty,UI,False,"[51.500,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/ColorPickerButtonDetail,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes,3,Empty,UI,False,"[48.000,-30.600,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|LayoutElement|ColorPickerButtonController|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/ColorPickerButtonSecondary/ColorImage,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/ColorPickerButtonSecondary,4,Empty,UI,False,"[44.500,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/ColorPickerButtonSecondary,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes,3,Empty,UI,False,"[41.000,-30.600,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|SignalOnUIButtonClick|CanvasRenderer|Touchable|ButtonStaticAnimations|LayoutElement|ColorPickerButtonController|NoTransitionsButton|Animation
BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/ColorPickerButtonPrimary/ColorImage,PCInit,BeatAvatarEditorViewController(Clone)/EditPanel/Clothes/ColorPickerButtonPrimary,4,Empty,UI,False,"[37.500,-34.100,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|ImageView
